34,A5,A1,A5,A4,,,,,,,,,,,,,,,
35,A4,,,,,,,,,,,,,,,,,,
36,A6,A6,A4,,,,,,,,,,,,,,,,
37,A6,A6,A4,,,,,,,,,,,,,,,,
38,A4,A7,A6,A7,A4,A4,,,,,,,,,,,,,
39,A4,A4,A1,A3,A1,A3,A1,A1,A4,A4,A1,A4,A4,,,,,,
40,A4,A1,A5,A2,A5,A1,A4,,,,,,,,,,,,
41,A4,,,,,,,,,,,,,,,,,,
42,A6,A5,A2,A5,A6,A1,A3,A5,A4,,,,,,,,,,
43,A6,A5,A1,A1,A1,,,,,,,,,,,,,,
44,A4,,,,,,,,,,,,,,,,,,
45,A4,A4,A4,A1,A4,,,,,,,,,,,,,,
46,A3,A4,,,,,,,,,,,,,,,,,
47,A4,,,,,,,,,,,,,,,,,,
48,A3,A3,A6,A4,,,,,,,,,,,,,,,
49,A4,,,,,,,,,,,,,,,,,,
50,A3,A6,A3,A2,A1,A1,A6,A3,A2,,,,,,,,,,
51,A4,,,,,,,,,,,,,,,,,,
52,A3,A4,,,,,,,,,,,,,,,,,
53,A3,A6,A4,,,,,,,,,,,,,,,,
54,A4,A1,A4,A4,,,,,,,,,,,,,,,
55,A4,,,,,,,,,,,,,,,,,,
56,A4,,,,,,,,,,,,,,,,,,
57,A1,A4,,,,,,,,,,,,,,,,,
58,A4,,,,,,,,,,,,,,,,,,
59,A2,A1,A3,A6,A2,,,,,,,,,,,,,,
60,A2,A2,A1,,,,,,,,,,,,,,,,
61,A4,A4,,,,,,,,,,,,,,,,,
62,A3,A3,A2,,,,,,,,,,,,,,,,
63,A2,A1,A6,A3,A5,,,,,,,,,,,,,,
64,A5,A5,A3,A6,A6,A5,A4,,,,,,,,,,,,
65,A4,,,,,,,,,,,,,,,,,,
66,A4,,,,,,,,,,,,,,,,,,
67,A4,,,,,,,,,,,,,,,,,,
68,A6,A3,A2,A1,A2,A1,,,,,,,,,,,,,
69,A4,A1,A5,A2,A1,A4,A4,,,,,,,,,,,,
70,A4,A1,A4,,,,,,,,,,,,,,,,
71,A1,A3,A5,A4,,,,,,,,,,,,,,,
72,A4,,,,,,,,,,,,,,,,,,
73,A4,A6,A4,,,,,,,,,,,,,,,,
74,A1,A4,,,,,,,,,,,,,,,,,
75,A4,A4,,,,,,,,,,,,,,,,,
76,A4,A4,,,,,,,,,,,,,,,,,
77,A4,,,,,,,,,,,,,,,,,,
78,A4,,,,,,,,,,,,,,,,,,
79,A4,,,,,,,,,,,,,,,,,,
80,A4,,,,,,,,,,,,,,,,,,
81,A2,A2,A4,,,,,,,,,,,,,,,,
82,A4,,,,,,,,,,,,,,,,,,
83,A4,,,,,,,,,,,,,,,,,,
84,A4,,,,,,,,,,,,,,,,,,
85,A4,,,,,,,,,,,,,,,,,,
86,A6,A1,A4,A4,,,,,,,,,,,,,,,
87,A1,,,,,,,,,,,,,,,,,,
88,A4,,,,,,,,,,,,,,,,,,
89,A1,A1,A1,A1,,,,,,,,,,,,,,,
90,A4,A1,A4,,,,,,,,,,,,,,,,
91,A3,A5,A3,A1,A3,A5,A4,,,,,,,,,,,,
92,A4,,,,,,,,,,,,,,,,,,
93,A4,A2,A4,,,,,,,,,,,,,,,,
94,A2,A5,A1,,,,,,,,,,,,,,,,
95,A4,A5,A2,A1,A3,A5,A5,A4,,,,,,,,,,,
96,A3,A3,A6,A6,,,,,,,,,,,,,,,
97,A4,,,,,,,,,,,,,,,,,,
98,A1,A2,A1,A5,A1,,,,,,,,,,,,,,
99,A3,A1,A5,A4,,,,,,,,,,,,,,,
100,A4,,,,,,,,,,,,,,,,,,
101,A2,A2,A2,A2,A6,A1,A1,A5,A1,A1,A1,,,,,,,,
